Subject,Session,Global Trial,Method,num_ambiguous_rows,accuracy,macro_f1
sub2b,sub2b,17,GR,7,0.14285714285714285,0.027777777777777776
sub2b,sub2b,17,BF,7,1.0,0.1111111111111111
sub2b,sub2b,17,E2E,7,1.0,0.1111111111111111
sub2b,sub2b,18,GR,6,0.0,0.0
sub2b,sub2b,18,BF,6,1.0,0.1111111111111111
sub2b,sub2b,18,E2E,6,0.0,0.0
sub2b,sub2b,19,GR,24,0.0,0.0
sub2b,sub2b,19,BF,24,1.0,0.1111111111111111
sub2b,sub2b,19,E2E,24,0.3333333333333333,0.05555555555555555
sub2b,sub2b,20,GR,6,0.8333333333333334,0.10101010101010101
sub2b,sub2b,20,BF,6,1.0,0.1111111111111111
sub2b,sub2b,20,E2E,6,0.0,0.0
sub2b,sub2b,21,GR,6,0.16666666666666666,0.031746031746031744
sub2b,sub2b,21,BF,6,1.0,0.1111111111111111
sub2b,sub2b,21,E2E,6,1.0,0.1111111111111111
sub2b,sub2b,23,GR,1,1.0,0.1111111111111111
sub2b,sub2b,23,BF,1,1.0,0.1111111111111111
sub2b,sub2b,23,E2E,1,1.0,0.1111111111111111
sub2b,sub2b,24,GR,3,0.0,0.0
sub2b,sub2b,24,BF,3,1.0,0.1111111111111111
sub2b,sub2b,24,E2E,3,0.0,0.0
sub2b,sub2b,25,GR,6,0.0,0.0
sub2b,sub2b,25,BF,6,1.0,0.1111111111111111
sub2b,sub2b,25,E2E,6,1.0,0.1111111111111111
sub2b,sub2b,26,GR,16,0.0,0.0
sub2b,sub2b,26,BF,16,0.75,0.09523809523809523
sub2b,sub2b,26,E2E,16,0.25,0.044444444444444446
sub2b,sub2b,27,GR,6,0.0,0.0
sub2b,sub2b,27,BF,6,0.8333333333333334,0.10101010101010101
sub2b,sub2b,27,E2E,6,0.0,0.0
sub2b,sub2b,28,GR,7,0.2857142857142857,0.04938271604938271
sub2b,sub2b,28,BF,7,1.0,0.1111111111111111
sub2b,sub2b,28,E2E,7,0.0,0.0
sub2b,sub2b,29,GR,14,0.5,0.07407407407407407
sub2b,sub2b,29,BF,14,1.0,0.1111111111111111
sub2b,sub2b,29,E2E,14,1.0,0.1111111111111111
sub2b,sub2b,30,GR,1,0.0,0.0
sub2b,sub2b,30,BF,1,1.0,0.1111111111111111
sub2b,sub2b,30,E2E,1,0.0,0.0
sub2b,sub2b,33,GR,3,1.0,0.1111111111111111
sub2b,sub2b,33,BF,3,1.0,0.1111111111111111
sub2b,sub2b,33,E2E,3,1.0,0.1111111111111111
sub2b,sub2b,34,GR,23,0.9565217391304348,0.21185485688528283
sub2b,sub2b,34,BF,23,0.6521739130434783,0.08771929824561403
sub2b,sub2b,34,E2E,23,0.13043478260869565,0.0606060606060606
sub2b,sub2b,35,GR,24,0.75,0.09523809523809523
sub2b,sub2b,35,BF,24,1.0,0.1111111111111111
sub2b,sub2b,35,E2E,24,0.0,0.0
sub2b,sub2b,36,GR,5,1.0,0.1111111111111111
sub2b,sub2b,36,BF,5,1.0,0.1111111111111111
sub2b,sub2b,36,E2E,5,1.0,0.1111111111111111
sub2b,sub2b,37,GR,57,0.45614035087719296,0.08137715179968702
sub2b,sub2b,37,BF,57,1.0,0.2222222222222222
sub2b,sub2b,37,E2E,57,0.7017543859649122,0.1902071563088512
sub2b,sub2b,38,GR,2,1.0,0.1111111111111111
sub2b,sub2b,38,BF,2,1.0,0.1111111111111111
sub2b,sub2b,38,E2E,2,1.0,0.1111111111111111
sub2b,sub2b,39,GR,5,1.0,0.1111111111111111
sub2b,sub2b,39,BF,5,1.0,0.1111111111111111
sub2b,sub2b,39,E2E,5,0.0,0.0
sub2b,sub2b,40,GR,6,0.0,0.0
sub2b,sub2b,40,BF,6,1.0,0.1111111111111111
sub2b,sub2b,40,E2E,6,1.0,0.1111111111111111
sub2b,sub2b,41,GR,18,0.3888888888888889,0.06222222222222223
sub2b,sub2b,41,BF,18,1.0,0.1111111111111111
sub2b,sub2b,41,E2E,18,1.0,0.1111111111111111
sub2b,sub2b,42,GR,18,0.6666666666666666,0.08888888888888889
sub2b,sub2b,42,BF,18,1.0,0.1111111111111111
sub2b,sub2b,42,E2E,18,0.6666666666666666,0.08888888888888889
sub2b,sub2b,43,GR,12,0.0,0.0
sub2b,sub2b,43,BF,12,1.0,0.1111111111111111
sub2b,sub2b,43,E2E,12,1.0,0.1111111111111111
sub2b,sub2b,44,GR,17,0.35294117647058826,0.057971014492753624
sub2b,sub2b,44,BF,17,0.35294117647058826,0.057971014492753624
sub2b,sub2b,44,E2E,17,0.0,0.0
sub2b,sub2b,45,GR,6,1.0,0.1111111111111111
sub2b,sub2b,45,BF,6,1.0,0.1111111111111111
sub2b,sub2b,45,E2E,6,1.0,0.1111111111111111
sub2b,sub2b,46,GR,1,1.0,0.1111111111111111
sub2b,sub2b,46,BF,1,1.0,0.1111111111111111
sub2b,sub2b,46,E2E,1,1.0,0.1111111111111111
