strategy,fallback_method,gr_gap_threshold,percent_switched_to_fallback,fallback_call_reduction_vs_always_percent,num_rows,accuracy,macro_f1,weighted_f1,accuracy_gain_vs_gr,macro_f1_gain_vs_gr,weighted_f1_gain_vs_gr,accuracy_gap_to_full_fallback,macro_f1_gap_to_full_fallback,weighted_f1_gap_to_full_fallback
GR_then_BF_if_ambiguous,BF,0.05,1.34963570348447,98.65036429651553,123663,0.8533514470779457,0.6164761874255963,0.8429180568899468,0.0037197868400411505,0.012218444145098317,0.0040039458060863176,-0.024510160678618442,-0.08696726973200009,-0.02640657658256007
GR_then_E2E_if_ambiguous,E2E,0.05,1.34963570348447,98.65036429651553,123663,0.8549687457040506,0.6203404775045986,0.8446086297501841,0.005337085466145974,0.01608273422410067,0.005694518666323645,-0.0447910854499729,-0.15119498077353866,-0.05006727333018868
GR_then_BF_if_ambiguous,BF,0.1,2.549671284054244,97.45032871594576,123663,0.8565051793988501,0.6270877974240353,0.8464448692566156,0.006873519160945474,0.022830054143537337,0.007530758172755059,-0.02135642835771412,-0.07635565973356107,-0.02287976421589133
GR_then_E2E_if_ambiguous,E2E,0.1,2.549671284054244,97.45032871594576,123663,0.8590362517487041,0.633204374816226,0.8490110201935869,0.009404591510799531,0.028946631535728073,0.010096909109726382,-0.04072357940531934,-0.13833108346191125,-0.04566488288678594
GR_then_BF_if_ambiguous,BF,0.15,3.7521328125631754,96.24786718743682,123663,0.8593920574464472,0.6375722781482196,0.8497018323546305,0.009760397208542604,0.033314534867721624,0.01078772127076999,-0.01846955031011699,-0.06587117900937678,-0.0196228011178764
GR_then_E2E_if_ambiguous,E2E,0.15,3.7521328125631754,96.24786718743682,123663,0.862489184315438,0.6446230371295807,0.8527458476057509,0.012857524077533378,0.04036529384908272,0.013831736521890403,-0.0372706468385855,-0.1269124211485566,-0.04193005547462192
GR_then_BF_if_ambiguous,BF,0.2,4.878581305645181,95.12141869435482,123663,0.8624810978223074,0.6479820636526896,0.8531444088918781,0.012849437584402823,0.04372432037219165,0.014230297808017656,-0.01538050993425677,-0.05546139350490675,-0.016180224580628733
GR_then_E2E_if_ambiguous,E2E,0.2,4.878581305645181,95.12141869435482,123663,0.8660715007722601,0.6562643967616735,0.856633252566258,0.016439840534355543,0.0520066534811755,0.017719141482397505,-0.03368833038176333,-0.11527106151646382,-0.03804265051411482
GR_then_BF_if_ambiguous,BF,0.25,5.94923299612657,94.05076700387343,123663,0.8650121701721615,0.6573313096895304,0.8560381214936672,0.01538050993425688,0.05307356640903238,0.01712401040980671,-0.012849437584402712,-0.04611214746806602,-0.013286511978839677
GR_then_E2E_if_ambiguous,E2E,0.25,5.94923299612657,94.05076700387343,123663,0.868861340902291,0.6659264294481709,0.8597082377096062,0.01922968066438635,0.06166868616767296,0.020794126625745757,-0.030898490251732524,-0.10560902882996637,-0.034967665370766565
GR_then_BF_if_ambiguous,BF,0.3,6.958427338815976,93.04157266118402,123663,0.8669367555372262,0.664140975491059,0.8582142916238236,0.01730509529932156,0.05988323221056102,0.019300180539963074,-0.010924852219338033,-0.03930248166653738,-0.011110341848683314
GR_then_E2E_if_ambiguous,E2E,0.3,6.958427338815976,93.04157266118402,123663,0.871408586238406,0.6744455764801609,0.8625330933426054,0.021776926000501406,0.07018783319966293,0.023618982258744925,-0.02835124491561747,-0.0970898817979764,-0.0321428097377674
GR_then_BF_if_ambiguous,BF,0.4,9.00754469809078,90.99245530190922,123663,0.8707940127604862,0.6784275718976186,0.8626755551039677,0.021162352522581585,0.07416982861712063,0.02376144402010716,-0.007067594996078008,-0.025015885259977777,-0.00664907836853923
GR_then_E2E_if_ambiguous,E2E,0.4,9.00754469809078,90.99245530190922,123663,0.8766728932663772,0.6927525770600678,0.8684829998723927,0.02704123302847261,0.08849483377956979,0.029568888788532255,-0.023086937887646264,-0.07878288121806953,-0.026192903207980067
GR_then_BF_if_ambiguous,BF,0.5,11.367992042890759,88.63200795710924,123663,0.8748453458188787,0.6929976755007181,0.8673330129293721,0.025213685580974143,0.08873993222022014,0.028418901845511657,-0.0030162619376854494,-0.010445781656878261,-0.001991620543134731
GR_then_E2E_if_ambiguous,E2E,0.5,11.367992042890759,88.63200795710924,123663,0.8834412880166258,0.7156671400085182,0.8759614339208353,0.03380962777872121,0.1114093967280202,0.03704732283697476,-0.016318543137397667,-0.05586831826961913,-0.01871446915953756
