Method,Class,precision,recall,f1_score,support
BF,Clean-table,0.9302678571428571,0.6770860410709644,0.7837370242214533,15388
BF,Nothing,0.923895690213931,0.9791689885409174,0.950729650550804,493495
BF,Pick-up-backpack,0.8652079956780119,0.6244070439924622,0.7253444046046423,15389
BF,Push-chair,0.8048780487804879,0.7396219060611966,0.7708714198659354,15393
BF,Sit-on-chair,0.6235391260162602,0.6329464861379756,0.6282075894285531,15510
BF,Sit-on-couch,0.7334231165333122,0.5970207003288838,0.6582296480625667,15507
BF,Sit-on-table,0.7088326127239036,0.3727426269975315,0.48856911745923626,15394
BF,Stand-on-couch,0.876503535028923,0.6155135727642014,0.7231818181818181,15509
BF,Wear-backpack,0.7729529743939246,0.5118963182668128,0.6159038013964313,15509
E2E,Clean-table,0.8908130775801817,0.7112475198412699,0.7909670746423031,16128
E2E,Nothing,0.9124445939959379,0.9767904114026563,0.9435217194309616,385875
E2E,Pick-up-backpack,0.881859756097561,0.7173859126984127,0.7911652078774617,16128
E2E,Push-chair,0.9193798449612403,0.6985987103174603,0.7939259415847514,16128
E2E,Sit-on-chair,0.7221502590673575,0.6859849883105698,0.703603205654067,16254
E2E,Sit-on-couch,0.7478838174273859,0.5544481358434847,0.6368004522328999,16254
E2E,Sit-on-table,0.8475035890891689,0.6588541666666666,0.7413660782808903,16128
E2E,Stand-on-couch,0.9446391659926305,0.6466715885320536,0.7677586647675395,16254
E2E,Wear-backpack,0.8874568469505179,0.7062271062271063,0.7865374808771035,16380
GR,Clean-table,0.8090649244589628,0.6438133610605666,0.7170412188325552,15388
GR,Nothing,0.9228795473911274,0.9742342499306119,0.9478618150352479,493601
GR,Pick-up-backpack,0.8446592065106816,0.5395412307492364,0.6584717871446132,15389
GR,Push-chair,0.5957844849089549,0.6206717339050217,0.607973527633714,15393
GR,Sit-on-chair,0.37929019232812666,0.4602836879432624,0.41588022835838284,15510
GR,Sit-on-couch,0.5248554913294797,0.2342168053137293,0.323895304766576,15507
GR,Sit-on-table,0.4190584446338922,0.28738469533584515,0.3409502523987515,15394
GR,Stand-on-couch,0.844582509648875,0.578502804823006,0.6866676871268942,15509
GR,Wear-backpack,0.9101720875754572,0.6513637242891225,0.7593205051112447,15509
