Method,Subject,accuracy,macro_f1,weighted_f1,num_rows,num_trials
BF,sub2b,0.9135346173867778,0.7422381869667158,0.9041207477394653,57630,96
BF,sub3,0.9111007113440659,0.7668482761359487,0.9086671399640813,53420,89
BF,sub4,0.9300951590803384,0.8250237544274779,0.9312227868191684,159102,266
BF,sub5,0.8919504715349674,0.6508623595458766,0.8746060760821203,173476,289
BF,sub6,0.8814176841571258,0.5482557578511815,0.8608784897203111,173466,289
E2E,sub2b,0.8861859614105123,0.7384086724628587,0.8800401656677306,48096,96
E2E,sub3,0.8988539774383817,0.7558140790446203,0.8949374043115508,44589,89
E2E,sub4,0.921863040835622,0.8414071106137746,0.9216593042228212,133266,266
E2E,sub5,0.8772006160689002,0.6907708130575657,0.8616576939058339,144789,289
E2E,sub6,0.9084322704072824,0.7781901653490788,0.9015691531733376,144789,289
GR,sub2b,0.8723234426513968,0.5547701536709428,0.8521721265322031,57630,96
GR,sub3,0.8576188693373269,0.5042885941418678,0.8461305648374852,53420,89
GR,sub4,0.9075737400130647,0.7461443609687076,0.9122031074095076,159208,266
GR,sub5,0.8709792709077913,0.5485076277475928,0.8464597168699969,173476,289
GR,sub6,0.8718884392330486,0.5194389580890522,0.8577453048525902,173466,289
